Unnamed: 0,GLOBAL_ID,LOCAL_ID,processed_txt,date,_date_,WoY,travel_mode,sentiment,reasoning
3000,3000,5874,"i agree! the mta is not at its best , but it does need it is funds to run. the mta rolled out discounted fares for low income new yorkers already.",2020-02-13 11:10:48+00:00,2020-02-13,2020-06,Subway,Neutral,"The MTA is not at its best, but it needs funding to run."
3001,3001,5875,i hate breathing in the air on the train,2020-02-13 10:47:18+00:00,2020-02-13,2020-06,Subway,Negative,The air quality on the subway is poor.
3002,3002,5876,so you are telling me i woke up even earlier for my flight in hopes of taking public transportation to reduce cost and carbon emissions only to find out the path and the bus are all delayed and there are no convenient train times,2020-02-13 10:31:36+00:00,2020-02-13,2020-06,Bus,Negative,The bus was delayed and there were no convenient train times.
3003,3003,5879,"i am at mta bus q5 and q5ltd francis lewis blvd &amp; sunrise highway in rosedale, ny https: and and t.co and mynvsvfn1a",2020-02-13 10:03:29+00:00,2020-02-13,2020-06,Bus,Neutral,The tweet is about a specific bus route and location.
3004,3004,5880,you can rob people on the subway hundreds of times and be back out in an hour. you do not even lose your right to use public transit. https: and and t.co and oxblyybkkc,2020-02-13 09:43:32+00:00,2020-02-13,2020-06,Subway,Negative,The subway system has a reputation for being unsafe and not taking action against criminals.
3005,3005,5881,"hi. i am at the bedford park d train station trying to get to manhattan. i am wondering how late the 4:28 train will be this time, and of course as always your board says it is in the station and has said that since 4:28",2020-02-13 09:30:35+00:00,2020-02-13,2020-06,Subway,Negative,The train was delayed and the board was incorrect.
3006,3006,5883,"that guy is a violent dick. i am honestly shocked by your stance here. if you cannot deal with a seat reclining, then either plan ahead and buy a different seat or take a train.",2020-02-13 07:05:41+00:00,2020-02-13,2020-06,Unknown,Negative,"The tweet expresses a negative sentiment towards the person being referred to as a ""violent dick""."
3007,3007,5885,next to some dude w black air forces on the train please pray,2020-02-13 06:38:47+00:00,2020-02-13,2020-06,Subway,Positive,The person is wearing black air forces.
3008,3008,5886,i am not even on the train yet and i have the earliest call time ever,2020-02-13 06:11:52+00:00,2020-02-13,2020-06,Subway,Negative,The subway was delayed and the person had an early call time.
3009,3009,5887,"congrats! i think i saw you in midtown about a week ago. i was rushing to catch the train, otherwise i would have said hi",2020-02-13 06:07:48+00:00,2020-02-13,2020-06,Unknown,Neutral,"The tweet is a congratulatory message, but doesn't express a sentiment towards travel."
