GLOBAL_ID,processed_txt,travel_mode,sentiment,reasoning,model
2000,rush hour train to midtown does not feel like rush hour,Subway,Positive,The train was less crowded than usual during rush hour.,llama2
2000,rush hour train to midtown does not feel like rush hour,Subway,Negative,The train during rush hour did not feel crowded.,mistral
2000,rush hour train to midtown does not feel like rush hour,Subway,Neutral,No indication of sentiment towards the train.,openai
2001,"he just reevaluating his life because he had the audacity to get on the train w no mask and gloves. homework will be alright though, he got the henny on deck laugh",Subway,Positive,"The tweet mentions getting on a train without proper protection gear, indicating a positive sentiment towards the subway journey.",llama2
2001,"he just reevaluating his life because he had the audacity to get on the train w no mask and gloves. homework will be alright though, he got the henny on deck laugh",Subway,Negative,"The person got on the train without a mask or gloves, which is not safe.",mistral
2001,"he just reevaluating his life because he had the audacity to get on the train w no mask and gloves. homework will be alright though, he got the henny on deck laugh",Subway,Negative,"The person got on the train without a mask and gloves, which is seen as irresponsible.",openai
2002,"well i guess a professional of having to wear a mask on the train is if you fall asleep and your mouth opens, no one will see",Subway,Neutral,The tweet mentions a positive aspect of wearing masks on public transportation.,llama2
2002,"well i guess a professional of having to wear a mask on the train is if you fall asleep and your mouth opens, no one will see",Subway,Neutral,The tweet is neutral and doesn't express any sentiment.,mistral
2002,"well i guess a professional of having to wear a mask on the train is if you fall asleep and your mouth opens, no one will see",Subway,Neutral,Mention of wearing a mask on the train.,openai
2003,"second mnuchin said on this morning, states like florida should not be bailing out states like new york which were mismanaged before the coronavirus . what is he talking about ? mta needs funding",Subway,Negative,Mnuchin's comment is negative towards New York State's management of the MTA.,llama2
2003,"second mnuchin said on this morning, states like florida should not be bailing out states like new york which were mismanaged before the coronavirus . what is he talking about ? mta needs funding",Unknown,Negative,The tweet is about a political statement made by a government official.,mistral
2003,"second mnuchin said on this morning, states like florida should not be bailing out states like new york which were mismanaged before the coronavirus . what is he talking about ? mta needs funding",Unknown,Negative,Mnuchin criticized New York's management and lack of funding for the MTA.,openai
2004,grinning like an idiot on the train about this new t swift album and for once i do not have to hide it because i am wearing a mask!!! :'),Subway,Positive,The tweet expresses excitement and relief about listening to Taylor Swift's new album while wearing a mask on public transportation.,llama2
2004,grinning like an idiot on the train about this new t swift album and for once i do not have to hide it because i am wearing a mask!!! :'),Subway,Positive,The person is happy about a new T Swift album and can express their feelings openly while wearing a mask.,mistral
2004,grinning like an idiot on the train about this new t swift album and for once i do not have to hide it because i am wearing a mask!!! :'),Unknown,,,openai
