Unnamed: 0,GLOBAL_ID,LOCAL_ID,processed_txt,date,_date_,WoY,travel_mode,sentiment,reasoning
2000,2000,4010,rush hour train to midtown does not feel like rush hour,2020-07-23 12:38:45+00:00,2020-07-23,2020-29,Subway,Positive,The train was less crowded than usual during rush hour.
2001,2001,4011,"he just reevaluating his life because he had the audacity to get on the train w no mask and gloves. homework will be alright though, he got the henny on deck laugh",2020-07-23 12:37:46+00:00,2020-07-23,2020-29,Subway,Positive,"The tweet mentions getting on a train without proper protection gear, indicating a positive sentiment towards the subway journey."
2002,2002,4012,"well i guess a professional of having to wear a mask on the train is if you fall asleep and your mouth opens, no one will see",2020-07-23 12:36:13+00:00,2020-07-23,2020-29,Subway,Neutral,The tweet mentions a positive aspect of wearing masks on public transportation.
2003,2003,4013,"second mnuchin said on this morning, states like florida should not be bailing out states like new york which were mismanaged before the coronavirus . what is he talking about ? mta needs funding",2020-07-23 12:35:40+00:00,2020-07-23,2020-29,Subway,Negative,Mnuchin's comment is negative towards New York State's management of the MTA.
2004,2004,4014,grinning like an idiot on the train about this new t swift album and for once i do not have to hide it because i am wearing a mask!!! :'),2020-07-23 12:33:39+00:00,2020-07-23,2020-29,Subway,Positive,The tweet expresses excitement and relief about listening to Taylor Swift's new album while wearing a mask on public transportation.
2005,2005,4015,"bitch you thought nyers were linebackers before, getting a seat on the train now has become it is own sport for us",2020-07-23 12:02:29+00:00,2020-07-23,2020-29,Subway,Negative,The speaker considers getting a seat on the train to be a challenging and competitive sport for New Yorkers.
2006,2006,4016,the girl across from me on the train staring at me like,2020-07-23 11:42:43+00:00,2020-07-23,2020-29,Subway,Negative,"The girl on the train is staring at the writer, creating an uncomfortable atmosphere."
2007,2007,4017,cleared: incident on at hoboken path station,2020-07-23 11:32:34+00:00,2020-07-23,2020-29,Subway,Neutral,"The tweet mentions that the incident at Hoboken Path Station has been cleared, indicating that the subway service is functioning normally."
2008,2008,4018,"to the 2 dudes inside this train car with no masks, vete pal carajo",2020-07-23 11:29:35+00:00,2020-07-23,2020-29,Subway,Negative,The writer is expressing frustration towards two individuals on a train without masks during a pandemic.
2009,2009,4021,"i am at mta nyct linden shop in brooklyn, ny https: and and t.co and pmnh374xkf",2020-07-23 10:34:50+00:00,2020-07-23,2020-29,Unknown,Neutral,The tweet does not mention any travel mode or sentiment.
